video_id,comment,collected_at
bo7biELqnDo,러닝 할때 관절 안좋아서 그런지 무릎통증이 생겨서 보호대 착용하고 있는데 전보다 안아프고 좋습니다 부상 회복하고나서도 러닝 중에 투어게인 니슬리브 썼던거 계속 사용하고 있네요 부상방지도 되고 컨디션 조절도 돼서 좋습니다 러닝벨트 헤어밴드도 있으면 편하고 좋습니다,20241127_133454
bo7biELqnDo,"정말 최고의 전신운동,,,가난한사람도 누릴수있는 최고의 운동",20241127_133454
bo7biELqnDo,40대초반 5년째 주2~3회 3~5km 러닝 하고있어요 가능한 천천히 주위 풍경들도 보면서 완주시간 속도에 신경안쓰고 여유있게  쉬지않고 뛰고있어요 혈압이높아시작한건데 이미오래전 혈압은 정상수치로 돌아왔고 많이건강해진기분입니다 여러분! 나가세요 뛰세요,20241127_133454
bo7biELqnDo,"솔직히 전 건강 이런거 다 관심도 없고 알바도 없음, 그냥 달릴때 뇌에 흘러 나오는 마약 호르몬이 너무나 좋음 이거에 중독됨 
회사서 매일 폭식하고, 술 담배 하고 밤에 라면 5개 끄려 먹고 해도 몸짱소리 들음 친구들은 다 부럽다고 어떻게 하냐 하면
방법을 가르쳐 주는데 아무도 못함 
정답은 하루 20킬로 달리세요 입니다.",20241127_133454
bo7biELqnDo,"걷기 보다 뛰어라
네 이제 뛰겠습니다
적당 하게 ",20241127_133454
bo7biELqnDo,내가 좀 예민하고 심하게 내향적이다 무조건 달리기추천한다,20241127_133454
bo7biELqnDo,1년동안 런닝해서 18키로 감량함 처음에1km도 못뛰었는데 지금 하프 1시간39분 ㅋ ㅋ 달리세요,20241127_133454
bo7biELqnDo,"달리기가 당연히 제일좋지...
제일힘드니까ㅋㅋㅋㅋ",20241127_133454
bo7biELqnDo,달리기를 다들  살빼는데만 좋다고 느끼지만  실제로 달리기를 하다보면 근육도 좋아집니다.,20241127_133454
bo7biELqnDo,런닝을 쉬지 않고 달리는 수준이면 이미 초보는 벗어 났습니다. 그러니 무릎나간다는 헛소리 에 동요하지마시고 본인 체중이 과체중이상이라면 (근육량보다 체지방이 높다는 전제하에) 식단을 조절해서 설탕 액상과당 밀가루 정제탄수화물 을 과감하게 줄이시고 한끼는  좋은 복합탄수화물위주의 식사를 드시고 한끼는 단백질 함량을 섞어서 드세요. 식사하는게 너무 번거롭다 모르겠다면 파스타 아주 좋습니다. 당의 섭취가 많이 들어가 있지 않는 파스타가 좋습니다.(ex 토마토 파스타) 그렇게 식단을 조절후 런닝을 하세요. 인터벌런닝을 해서 주 3일~4일 하루 30분 ~1시간 인터벌런닝은 말그대로 4분걷고 1분뛰기 30분이상 한 후 그다음날 쉬기 3일차 3분걷고 1분 30초 뛰기 순으로 해서 하세요! 제가 그렇게 하고 있는중이고 !2달째 입니다! 심박수는 118이상 보폭은 짧게 미드풋으로 ! 살 겁나 잘빠지고 좋습니다!,20241127_133454
bo7biELqnDo,"걷기,달리기,자전거,등산 다 귀찮고 더 간편하면서 시간도 적게 들이고 달리기만큼 높은 운동효과를 보고싶다?  그러분들은 아파트 계단이나 집 근처 공원에있는 계단오르기 운동을 하루에 딱! 20분씨만 올라보시길 바랍니다.
 살빼면서 근력과 심폐지구력을 키우려고 걷기,달리기,등산,자전거 다해본 1인으로써 추천합니다. 
 저 모든 운동의 장점을 다 갖춘게 계단오르기 운동입니다.",20241127_133454
bo7biELqnDo,30대 중반에 이제서야 하루 40분 주4회 목표로 반년째 달리고 있어요 불면증 소화불량 고혈압 다 없어졌습니다 다치지않고 오~래 달리고 싶어요,20241127_133454
bo7biELqnDo,심장 성능 끌어올리는데에는 달리기가 최고임,20241127_133454
bo7biELqnDo,"조깅 5년차 이젠 안힘들어요  
처음할때는  무지힘들어서 쓰러졌는데",20241127_133454
bo7biELqnDo,모든 운동의 기본이라는 조깅ㅋ..처음이 힘들고 어렵지 계속뛰면 별것아님.. 달리기처럼 간단하고 좋은운동도 없는듯,20241127_133454
bo7biELqnDo,"달리기를 할 때
폐는 더 많은 산소를 빨아들이고 심장은 더 빨리 뛴다.
똑같은 동작을, 똑같은 육체적 행위를 반복적으로 수행하게 되면 우리 몸은 그 반복전ㄱ인 수ㅠㅍ행에서 가장 적은 에너지를 쓰는 방식으로 최적화됩니다. 그 과정에서 우리 몸은 변해갑니다.

달리기와 걷기의 효과를 비교하면 2~3배의 시간의 차이가 난다. 적은 시간에 소기의 운동효과를 얻을 수 있다.
시간당 열량 소모량 달리기 > 자전거 > 수영 > 걷기
골밀도 강화운동     달리기 > 수영
시간효율성           달리기  > 등산",20241127_133454
bo7biELqnDo,"비만 또는 과체중이신분들은 걷기와 식이요법으로 체중을 줄인 후에 천천히 달리기를 시작해야 정의 효과를 볼 수 있고, 과체중(체중>키-110)상태에서  무리하게 달리기를 하면 부상을 입기 쉽습니다. 달리기의 단점이죠.",20241127_133454
bo7biELqnDo,진짜 조깅 5년차 사람으로써 말하는건데  조깅도 꾸준히 오래하고  몸이 적응이 되면  점점 km수도 늘어남 하면서도  안힘듬. 무엇보다 신기한건  조깅계속하다보면  나도모르게 기분이 좋아지고  뭔가 뇌속에  차가운?뜨거운? 액체라고해야하나  그게 흘러나오는게 느낌.  쉬지않고 뛰어야 난 나오더라. 그게나오면  순간적으로 기분이 엄청 좋아짐  힘도 더 나고.  마약은 당연히 해보진 않았지만.  이런느낌 아닐까 생각함,20241127_133454
bo7biELqnDo,"이좋은운동을왜안하는지모르겠음
그냥 개사기운동임",20241127_133454
bo7biELqnDo,"달리기 입문해서 10km,하프 마라톤 도전하면서 달리기의 매력을 느끼고 있습니다. 달리기는 영상에서 나온바와 같이 신체적인 건강 증진 뿐만 아니라, 정신건강에도 아주 좋다고 합니다. 주 3회 달리기 꼭 실천해보세요. 삶이 여유로워 지고 몸과 마음이 튼튼해지는것을 느낍니다.",20241127_133454
