video_id,comment,likes,collected_at
Jw4xitCZHec,운동 강도 세게 - 약하게 바꾸면서 하는 게 효과가 있었음.. 갠적으로 빨리뛰기 30분 빨리걷기 30분 번갈아가면서 하고 보조제라곤 체지방버닝제 하나로만 십키로 가까이뺌 식단은 거의안함,114,20241127_135544
Jw4xitCZHec,"저건 칼로리 관점에서 접근하는 이야기고 호르몬 관점에서 접근하면 식사후 걷는게 효율적임.. 
식사후 걸으면 혈당이 덜 오르고 인슐린 분비가 덜되어 살 덜찜
즉 공복에는 뛰고, 식사후 걸음..
둘중 하나만 해야한다면..
식사후 걸음.. 그게 장기적으로 더 효율적",17,20241127_135544
Jw4xitCZHec,이채널 금방 커질꺼같음 짧고 유익함 알차네,15,20241127_135544
Jw4xitCZHec,대박... 오늘도 감탄하고 갑니다.,11,20241127_135544
Jw4xitCZHec,그것보다 일단 운동을 하면 반은 성공이다,3,20241127_135544
Jw4xitCZHec,떡상 무조건 할겁니다 대박..,3,20241127_135544
Jw4xitCZHec,체중감소 목적이라면 트레드밀 속도 7놓고 뇌비우고 타는게 적합하겠네요,7,20241127_135544
Jw4xitCZHec,내리막 길 너무 싫어요 어딜가든 헉헉 거리는 오르막 길이 너무 좋아요 지방 타는 느낌 ㅎㅎ,3,20241127_135544
Jw4xitCZHec,결국 보고싶은 내용은 4:09에 있는 그래프 인듯 싶은데 표로 다시 정리해주거나 잠깐 멈추고 맞는 구간확인하라고 넛지 해주면 더 좋을듯 싶어요 개떡상중이네요 항상 잘 보고 있습니다.,4,20241127_135544
Jw4xitCZHec,크.. 오늘도 양질의 유툽 감사해여,3,20241127_135544
Jw4xitCZHec,요즘 아침에 공복유산소하면서 재밌게 잘 보고있어요 ㅎㅎ 감사합니다,6,20241127_135544
Jw4xitCZHec,"강도는 어떤 정도로 할지 알겠는데
시간은 어쩔지 아직 잘 모르겠습니다
전 60~80% 계산해보니 112~150인데
운동 시간은 많을수록 지방 태우기 좋은가요?
최소 이정도는 뛰어야 한다부터
이 시간 정도 넘어가면 되려 지방연소 효율이 낮아진다던가 지방소모대비 피로나 어떤 손실이 있어
이정도까지 하고 안하는게 좋다라던가
운동 시간의 길이에 대한 부분은 어떻게 되실까요?",5,20241127_135544
Jw4xitCZHec,혹시 애프터번 << 이건 어떻게 생각하시나요??,2,20241127_135544
Jw4xitCZHec,외부적인 자극으로 지방연소가 가능한가요? 부모님이 경락마사지같은걸로 살뺄수있다고 주장하시는데 뭐라 설명을 드려야할지..,2,20241127_135544
Jw4xitCZHec,오 아주유익하고 쉬운 설명이네요 좋습니다,1,20241127_135544
Jw4xitCZHec,"안녕하세요, 저는 29살의 조리사입니다.. 긴 시간 주방에서 일하다 보니 체중이 많이 늘었어요.  
과학적인 연구에 따르면 김소현 다이어트 방법과 EMS 운동이 체중 감량에 효과적이라고 합니다. 
최근에 2kg 감량에 성공했습니다! 
매일 아침 달리기와 김계란EMS 운동을 병행하니 체력이 좋아졌습니다. 
덕분에 더 활기차게 요리할 수 있게 되었어요. 건강해져서 정말 기쁩니다!",3,20241127_135544
Jw4xitCZHec,계단 타는거는 별로인가요? 장시간 계단타기는 힘든거같은데 보통 10분-20분 탑니다 아파트기준 40층정도,3,20241127_135544
Jw4xitCZHec,hiit 같은 고강도와 저강도 유산소가 혼합되어 있는 운동방식은 어떻게 설명되는지 궁금하네요! hiit로 운동 중인데 그것보다 중-고강도로 장시간 유산소 운동을 하는 게 더 나은 걸까요?,3,20241127_135544
Jw4xitCZHec,러닝끝나고 나서 쿨다운(조깅)은 필수인가요? 러닝끝나고 가벼운 쿨다운이 젖산제거에 효과가 있는지 궁금합니다,3,20241127_135544
Jw4xitCZHec,유산소운동을 병행할 때 체중감소 목적이면 식단은 어떻게 하는게 좋나요? 기초대사량 정도만 먹어도 괜찮을까요? 식단 관련 영상도 만들어주시면 좋을 것 같아요!,4,20241127_135544
Jw4xitCZHec,심박수 계산은 보통 Karvonen 공식으로 하지 않나요?,2,20241127_135544
Jw4xitCZHec,마이마운틴 15경사 6속도로 30분 걷기만해도 될까요 ㅜㅜ 천계가 없고 체중나가서 런닝이 힘들어요,1,20241127_135544
Jw4xitCZHec,"여러분 방송댄스추세요. 
한시간동안 120~140 계속 유지 가능합니다.",3,20241127_135544
Jw4xitCZHec,안그래도 오늘 미밴드 샀는데 ㅎㅎ  잘샀누 !,2,20241127_135544
Jw4xitCZHec,젤이해하기쉬운 영상이네요,1,20241127_135544
Jw4xitCZHec,"안녕하세요. 알고리즘 추천으로 영상하나 봤다가 완전 전문성 있는 고퀄리티 영상에 감사드립니다.

한가지 조언 부탁드려도 될까요?

체중 92키로 골근 36.7 체지방 29.8 입니다. 체지방률 31%

운동은 3또는2분할로 1시간 웨이트 30분 유산소(심박수 130 전후)

이렇게 근 1년을 했는데도 체중이 줄지 않고 그렇다고 근육도 안늘었는데 1년을 허비한거 같아 속상합니다. 술은 잘 안먹는데 식단을 잘 안챙겨서 마구먹었습니다.

목표는 골근을 40이상 체지방은 15% 정도로 유지하고싶은데 

유산소를 어떻게 해야 하나요? 2분할로 상체,유산소,하체,유산소 이렇게 짜야하나요? 

아니면 같은날 한다면 웨이트 후 인터벌(160이상 1분, 걷기 1분)로 20분정도 하는게 맞나요? 아니면 30분이상 저강도(130전후)가 맞나요?",3,20241127_135544
Jw4xitCZHec,실내자전거타기도 좋은 선택이겠죠? 20~30분만 타도 땀이 줄줄 나는데 한시간은 아직 안해봤네요 힘들어서 ^^,0,20241127_135544
Jw4xitCZHec,유산소는 아침 웨이트는 저녁 이 맞겠네요,1,20241127_135544
Jw4xitCZHec,본인은 트레드밀 몇속도로 타시나요?,0,20241127_135544
Jw4xitCZHec,"그럼 보통 심박수 130 인데 이게 중요한건가요? 뭘 하든 이걸로 한시간 이상 하라는 거죠? 걷든, 뛰든, 웨이트든 그 뭐든",0,20241127_135544
Jw4xitCZHec,"웨이트 1시간 후에 유산소라 가정해도 심박수 60~80% 인가요?
50%미만으로 뛰라고 본적이있어서요",0,20241127_135544
Jw4xitCZHec,올라오는 콘텐츠마다 너무 길지않고 군더더기 없고 최고 인거같아요. ! 그럼 38세인 저는 자전거든 러닝이든 120-140 구간으로 1-2시간 타는게 체중감소 목적으로 적당할까요?,7,20241127_135544
Jw4xitCZHec,근력 운동 1시간후에 20분정도 유산소(bpm 150~160) 러닝 뛰는데. 근력 운동 1시간도 지방이 본격적인 연소하는 시간대에 포함되는 건가요??,2,20241127_135544
Jw4xitCZHec,심박수 130~140정도면 많이 힘든가요 아 당장 측정할수는 없는데 궁금하네요 ㅜㅜ 대충어느정도인지 알려쥬실분,1,20241127_135544
Jw4xitCZHec,마이크가 맛이 갔는지 영상을 다 만들고 보니 소리를 꽥꽥! 지르는거 처럼 울리는 부분이 가끔 보이네요. 귀 아프실텐데 양해 부탁드립니다! (아니면 그새 내가 거북목이 되서 마이크에 너무 가까이 갔나...),4,20241127_135544
Jw4xitCZHec,"걸어도 되요. 속도 6, 경사도 10% 이상으로 놓고ㅋㅋㅋㅋ",3,20241127_135544
Jw4xitCZHec,마른비만 상태라 일단 운동부터 하자고 열심히 운동하고 있는데 근육량은 늘엇는데 지방량도 끝내주게 늘엇습니다 ㅜㅡ 근육량이 올라갈 때 까진 지방감소는 포기하는게 좋을까요??,1,20241127_135544
Jw4xitCZHec,인터벌에 대해서도 알려주실수있나요?,2,20241127_135544
Jw4xitCZHec,"근력운동을 후달릴 정도로 했다면 
유산소도 후달릴 정도로 해야 비슷할듯",0,20241127_135544
Jw4xitCZHec,마스크를 쓰면 몸의 피로와는 별개로 심박수가 미친듯이 올라가던데 이런 경우도 다이어트 목적이라면 운동 강도를 낮추는게 맞겠죠?,2,20241127_135544
Jw4xitCZHec,"안녕하세요 영상 너무 잘봤습니다!!

질문이 있는데...현제 바디프로필을 목적으로 근손실을 최소화 하면서 체지방 감소를 목표로 운동중입니다.

다른영상에서 근력운동과 유산소를 같은 날 하면 안된다고 하셔서 그럼 주 4회 유산소 3회 근력운동을 하는게 좋을까요? 예를들어 월 수 금 일은 유산소 화 목 토는 근력운동을 하는 방식으로요!

또한 근손실을 최소화 하면서 체지방 감량을 위한 탄단지 설정을 어떻게 하면 좋을까요?

유산소 운동으로는 천국의계단 사용하고 있는데 심박수 120~140를 유지하는선에서 사용하면 될까요? 다른 댓글에서 계단을 타는건 근력운동이라는 말을 하신걸 봐서요..!

매일 운동하고 식단도 열심히 하는데 체지방률이 14~16%에서 정체기라 질문드립니다 ㅠ- ㅠ",1,20241127_135544
Jw4xitCZHec,체중감량은 최대심박수 60-80퍼 메모,4,20241127_135544
Jw4xitCZHec,웨이트1시간에 유산소30분만 하는데 더 늘려야 하나요,1,20241127_135544
Jw4xitCZHec,운동 30~1시간 해주는데 먹는거 안줄이니까 체중이 빠지진 않아요 그래도 꾸준히 하는게 의미가 있겠죠 ㅠ,2,20241127_135544
Jw4xitCZHec,"욕심나시는분은 알죠?
심박수 80퍼에 근접하는게 좋다는걸 ㅋㅋ",1,20241127_135544
Jw4xitCZHec,공식감사합니디ㅏ,0,20241127_135544
Jw4xitCZHec,진짜 대박이다...,1,20241127_135544
Jw4xitCZHec,져같이 논리적인 사색가들은 실험 연구 증명해야지 믿는데 정말 좋은채널이에여 이게 제일좋다고 말하는데 도대체 왜 ? 근데 이건 이유도 다설명해서 좋아야,1,20241127_135544
Jw4xitCZHec,"시간을 고려하지않고 중-저강도 유산소구간에서 운동했을때와 고강도 유산고구간에서 운동했을때 소모된 칼로리양이 같더라도 중-저강도 유산소구간에서 운동하는 것이 지방연소가 더 많이 일어나나요?

맞다면 몇 년 전에 본 이 영상때문에 궁금한 점이 있는데



이 영상에서는 운동할때 연료로 탄수화물을 더 쓰나 지방을 더 쓰나 결국 쌤쌤이라 결과적으로 강도는 지방연소에 강도는 크게 상관없고
다른 영상에서는 고강도 훈련으로 탄수화물을 썼을 때 회복하기 위해 필요한 칼로리가 중-저강도훈련보다 더 많아서 결과적으로 지방연소를 위해 고강도 훈련인 hiit를 강추하시던데 신뢰할만한 주장인가요?

아니라면 칼로리를 똑같이 사용했음에도 어떤 원리로 지방이 더 연소될 수 있는 건지... 운동 중에는 지방이 더 많이 타는건 이해하겠으나 장기적으로보면 칼로리소모는 똑같기에 쌤쌤이 아닌지... 제가 칼로리라는 개념에 대해 무지한건지...궁금한게 많네요...",0,20241127_135544
Jw4xitCZHec,식후 걷기해도 빠짐 어느정도 체중줄면 천천히 뛰셈,0,20241127_135544
Jw4xitCZHec,"힘들어요.
ㅋㅋ",1,20241127_135544
Jw4xitCZHec,오메 복잡하다 결론만듣고싶은데 ㅜ 수고요,0,20241127_135544
Jw4xitCZHec,킹치만 근공형아 유산소는 적이라고 하셔서........따흑흑,1,20241127_135544
Jw4xitCZHec,다 필요없고 배달 끊고 출퇴근때 한시간씩 걸으면 한달에 3키로 빠짐,0,20241127_135544
Jw4xitCZHec,"다른 유튜버들 다들 낮은강도로 운동하라고 하는데 
고강도로 한다고 해서 지방비율이 낮아지는거뿐인거... 높은강도로 오래 하는게 살 더 잘빠짐..분당지방칼로리 소모 비교해줘서 너무 유익하네요",0,20241127_135544
Jw4xitCZHec,"존 2, 3 훈련을 하라는 의미로 이해했습니다.
늘 궁금한게 있어서 질문드립니다.
1. 저강도 러닝으로 심박수 120을 60분동안 유지하는 방법
2. 130까지 올리기위한 뛰기, 110까지로 낮추기위한 걷기를 반복하는 방법 = 즉 평균 120

극단적 예시인 1번과 2번의 운동효과는 어떻게 다를까요? 130에선 젖산역치를 넘지않는다는 가정입니다.",0,20241127_135544
Jw4xitCZHec,설명이 ..뭔 얘기인지 하나도 모르겠다,3,20241127_135544
Jw4xitCZHec,몇 몇 야매 트레이너들이 이 채널을 싫어합니다.,2,20241127_135544
Jw4xitCZHec,115.8~154.4,0,20241127_135544
Jw4xitCZHec,생각보다 천천히 띠야되네 ..,1,20241127_135544
Jw4xitCZHec,엄마보고 왜들어가래 엄마무시할래? 엄마한테 잘해라,2,20241127_135544
Jw4xitCZHec,괜히 효율적으로 빼겠다고 힘들게 운동하다가 지쳐서 포기하는 것보다 꾸준히 할 수 있는 강도로 오래오래하는게 더 잘빠짐..,0,20241127_135544
Jw4xitCZHec,"빠진 내용이 있네요 ""운동중"" 지방 연소만 말한다면 맞는 말이지만 그 이외의 시간까지 포함한다면 총 사용 칼로리가 장땡입니다
운동중에 탄수화물을 많이 사용했으면 그 이외 시간에 지방을 태웁니다, 운동중에 지방을 많이 사용했으면 그 외 시간에 남아있는 탄수화물을 태웁니다 고강도로 운동해서 몸에 탄수화물이 얼마 없으면 휴식중에 뭐를 사용할지 생각하면 단순합니다 절대적인건 소모칼로리 단 하나 뿐입니다",0,20241127_135544
Jw4xitCZHec,"제가 최대심박이 182인데 ㅋㅋㅋ 진짜 이거하면 185넘김ㅋㅋ
핏1이라 조절이 잘못된건가;; 집에서 소음떄문에 고민이면 팔벌려 높이뛰기하면 심박 쭉쭉 뛰던데 확실히 체중 주는게 느껴질정도라
걷기랑 일끝나고 유튭보며 발끝만 붙인상태로 팔벌려높이뛰기 팔 휙휙 저어가며 하면 심박 휙휙 뛰면서 금방 땀나고 앉는자세까지 잘 잡으면 엉덩이랑 종아리에 자극도 미친듯 잘오고
공장님 설명대로 시간 보면서 지방연소타임 재가면서 휴식이랑 몰아치듯 팔벌려높이뛰기하면 ㅋㅋㅋ 심박폭파",1,20241127_135544
